MRUN,GENERO,EDAD,TRAMO_EDAD,COMUNA,REGION,REGION_ORD,TIPO_COLEGIO,GRADO,ZONA,SUBSECTOR,SECTOR
20785790,Hombre,33,30-39,CURANILAHUE,Biobío,Biobío,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20785800,Mujer,60,60+,LINARES,Maule,Maule,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20787320,Mujer,25,< 30,LA CISTERNA,Metropolitana,Metropolitana,Corp. Adm. Delegada (DL 3166),Media H-C (Jóvenes),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20787699,Mujer,40,40-49,COLINA,Metropolitana,Metropolitana,Particular Pagado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20790126,Mujer,38,30-39,PADRE HURTADO,Metropolitana,Metropolitana,Particular Pagado,Media H-C (Jóvenes),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20791197,Mujer,54,50-59,PERQUENCO,Araucanía,Araucanía,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20791999,Hombre,52,50-59,LO BARNECHEA,Metropolitana,Metropolitana,Particular Pagado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20793480,Mujer,31,30-39,COQUIMBO,Coquimbo,Coquimbo,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20794068,Mujer,42,40-49,TALCA,Maule,Maule,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20796021,Mujer,43,40-49,FLORIDA,Biobío,Biobío,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20796106,Mujer,49,40-49,SANTA BÁRBARA,Biobío,Biobío,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20796284,Hombre,37,30-39,MAIPÚ,Metropolitana,Metropolitana,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
