NOM_COM_RBD,COD_DEPE2,COD_ENSE2,NOM_PLAN_EST,NOM_SUBSECTOR,TIPO_SUBSECTOR,TOTAL_DOCENTES
ALGARROBO,1,6,EDUCACIÓN MEDIA H-C Y T-P ADULTOS (DECRETO Nº 257/2009 ),CONSUMO Y CALIDAD DE VIDA,4,1
ALGARROBO,1,6,EDUCACIÓN MEDIA H-C Y T-P ADULTOS (DECRETO Nº 257/2009 ),CONVIVENCIA SOCIAL,4,1
ALGARROBO,1,6,EDUCACIÓN MEDIA H-C Y T-P ADULTOS (DECRETO Nº 257/2009 ),EDUCACIÓN MATEMÁTICA,2,1
ALGARROBO,1,6,EDUCACIÓN MEDIA H-C Y T-P ADULTOS (DECRETO Nº 257/2009 ),ESTUDIOS SOCIALES,2,1
ALGARROBO,1,6,EDUCACIÓN MEDIA H-C Y T-P ADULTOS (DECRETO Nº 257/2009 ),FILOSOFÍA,3,1
ALGARROBO,1,6,EDUCACIÓN MEDIA H-C Y T-P ADULTOS (DECRETO Nº 257/2009 ),IDIOMA EXTRANJERO (INGLÉS),2,1
ALGARROBO,1,6,EDUCACIÓN MEDIA H-C Y T-P ADULTOS (DECRETO Nº 257/2009 ),INSERCIÓN LABORAL,4,1
ALGARROBO,1,6,EDUCACIÓN MEDIA H-C Y T-P ADULTOS (DECRETO Nº 257/2009 ),LENGUA CASTELLANA Y COMUNICACIÓN,2,1
ALGARROBO,1,6,EDUCACIÓN MEDIA H-C Y T-P ADULTOS (DECRETO Nº 257/2009 ),TECNOLOGÍAS DE LA INFORMACIÓN Y DE LAS TELECOMUNICACIONES,4,1
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),ARTES VISUALES,2,1
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),CIENCIAS NATURALES,2,1
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),EDUCACIÓN FÍSICA Y SALUD,2,3
ALGARROBO,1,7,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,1
